"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24",3.3,"00000","Employment income","Both sexes",15685,14755,10105,10110,25453,27537,8.2
"2417","L'Islet","Municipalité régionale de comté","Quebec","24",3.3,"00000","Employment income","Males",7865,7470,5795,5635,32116,32876,2.4
"2417","L'Islet","Municipalité régionale de comté","Quebec","24",3.3,"00000","Employment income","Females",7815,7285,4310,4480,17688,22342,26.3
"2418","Montmagny","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Both sexes",19165,18985,18320,18665,25668,29559,15.2
"2418","Montmagny","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Males",9495,9525,9260,9385,32003,34239,7.0
"2418","Montmagny","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Females",9670,9460,9060,9280,20048,24407,21.7
"2418","Montmagny","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Both sexes",19165,18985,18320,18660,24139,26889,11.4
"2418","Montmagny","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Males",9495,9525,9255,9380,28715,30396,5.9
"2418","Montmagny","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Females",9670,9460,9060,9275,19675,22978,16.8
"2418","Montmagny","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Both sexes",19165,18985,12125,12435,27296,29464,7.9
"2418","Montmagny","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Males",9495,9525,6775,6735,31955,33034,3.4
"2418","Montmagny","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Females",9670,9460,5350,5700,21225,24915,17.4
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24",4.1,"00000","Total income","Both sexes",26975,29665,25725,29085,28461,34333,20.6
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24",4.1,"00000","Total income","Males",13910,15280,13505,15015,34312,39503,15.1
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24",4.1,"00000","Total income","Females",13065,14380,12225,14070,21347,29106,36.3
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24",4.1,"00000","After-tax income","Both sexes",26975,29665,25725,29090,26268,30422,15.8
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24",4.1,"00000","After-tax income","Males",13910,15280,13500,15015,30357,34003,12.0
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24",4.1,"00000","After-tax income","Females",13065,14380,12225,14075,20662,26495,28.2
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24",4.1,"00000","Employment income","Both sexes",26975,29665,18500,21870,29465,32685,10.9
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24",4.1,"00000","Employment income","Males",13910,15280,10445,11915,34482,37747,9.5
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24",4.1,"00000","Employment income","Females",13065,14380,8055,9955,22626,27068,19.6
"2420","L'Île-d'Orléans","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Both sexes",5770,5990,5560,5900,32706,38400,17.4
"2420","L'Île-d'Orléans","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Males",2905,3060,2815,3020,40131,43592,8.6
"2420","L'Île-d'Orléans","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Females",2870,2930,2745,2875,25245,33802,33.9
"2420","L'Île-d'Orléans","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Both sexes",5770,5990,5565,5900,29489,33096,12.2
"2420","L'Île-d'Orléans","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Males",2905,3060,2820,3020,34576,37192,7.6
"2420","L'Île-d'Orléans","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Females",2870,2930,2750,2880,24203,29552,22.1
"2420","L'Île-d'Orléans","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Both sexes",5770,5990,4075,4205,30225,31552,4.4
"2420","L'Île-d'Orléans","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Males",2905,3060,2170,2260,36658,34965,-4.6
"2420","L'Île-d'Orléans","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Females",2870,2930,1905,1950,23763,28827,21.3
"2421","La Côte-de-Beaupré","Municipalité régionale de comté","Quebec","24",3.6,"00000","Total income","Both sexes",18820,22585,18020,22225,31420,38612,22.9
"2421","La Côte-de-Beaupré","Municipalité régionale de comté","Quebec","24",3.6,"00000","Total income","Males",9400,11405,9115,11265,38360,43451,13.3
"2421","La Côte-de-Beaupré","Municipalité régionale de comté","Quebec","24",3.6,"00000","Total income","Females",9420,11180,8905,10960,24196,33565,38.7
"2421","La Côte-de-Beaupré","Municipalité régionale de comté","Quebec","24",3.6,"00000","After-tax income","Both sexes",18820,22585,18030,22230,28831,33549,16.4
"2421","La Côte-de-Beaupré","Municipalité régionale de comté","Quebec","24",3.6,"00000","After-tax income","Males",9400,11405,9115,11260,32810,37091,13.0
"2421","La Côte-de-Beaupré","Municipalité régionale de comté","Quebec","24",3.6,"00000","After-tax income","Females",9420,11180,8915,10970,22997,29598,28.7
"2421","La Côte-de-Beaupré","Municipalité régionale de comté","Quebec","24",3.6,"00000","Employment income","Both sexes",18820,22585,13100,16715,33167,35255,6.3
"2421","La Côte-de-Beaupré","Municipalité régionale de comté","Quebec","24",3.6,"00000","Employment income","Males",9400,11405,7015,8855,38789,38939,0.4
"2421","La Côte-de-Beaupré","Municipalité régionale de comté","Quebec","24",3.6,"00000","Employment income","Females",9420,11180,6090,7865,26785,31280,16.8
"2422","La Jacques-Cartier","Municipalité régionale de comté","Quebec","24",3.2,"00000","Total income","Both sexes",22985,32565,21930,31845,38120,46174,21.1
"2422","La Jacques-Cartier","Municipalité régionale de comté","Quebec","24",3.2,"00000","Total income","Males",11915,16735,11600,16435,47362,53922,13.9
"2422","La Jacques-Cartier","Municipalité régionale de comté","Quebec","24",3.2,"00000","Total income","Females",11070,15835,10330,15410,29266,39324,34.4
"2422","La Jacques-Cartier","Municipalité régionale de comté","Quebec","24",3.2,"00000","After-tax income","Both sexes",22985,32565,21935,31860,33947,39110,15.2
"2422","La Jacques-Cartier","Municipalité régionale de comté","Quebec","24",3.2,"00000","After-tax income","Males",11915,16735,11600,16435,39115,44245,13.1
"2422","La Jacques-Cartier","Municipalité régionale de comté","Quebec","24",3.2,"00000","After-tax income","Females",11070,15835,10335,15420,27390,34176,24.8
"2422","La Jacques-Cartier","Municipalité régionale de comté","Quebec","24",3.2,"00000","Employment income","Both sexes",22985,32565,17775,26695,38069,41641,9.4
"2422","La Jacques-Cartier","Municipalité régionale de comté","Quebec","24",3.2,"00000","Employment income","Males",11915,16735,9700,14100,48320,50304,4.1
"2422","La Jacques-Cartier","Municipalité régionale de comté","Quebec","24",3.2,"00000","Employment income","Females",11070,15835,8075,12600,29265,34705,18.6
"2423","Québec","Territoire équivalent","Quebec","24",4.2,"00000","Total income","Both sexes",438425,472065,422360,462555,31663,37013,16.9
"2423","Québec","Territoire équivalent","Quebec","24",4.2,"00000","Total income","Males",208750,228990,202300,224500,38136,41468,8.7
"2423","Québec","Territoire équivalent","Quebec","24",4.2,"00000","Total income","Females",229675,243070,220070,238050,26172,32954,25.9
"2423","Québec","Territoire équivalent","Quebec","24",4.2,"00000","After-tax income","Both sexes",438425,472065,422415,462640,28589,32405,13.3
"2423","Québec","Territoire équivalent","Quebec","24",4.2,"00000","After-tax income","Males",208750,228990,202310,224515,32942,35709,8.4
"2423","Québec","Territoire équivalent","Quebec","24",4.2,"00000","After-tax income","Females",229675,243070,220100,238125,24522,29329,19.6
"2423","Québec","Territoire équivalent","Quebec","24",4.2,"00000","Employment income","Both sexes",438425,472065,306370,338240,32464,34115,5.1
"2423","Québec","Territoire équivalent","Quebec","24",4.2,"00000","Employment income","Males",208750,228990,157270,174235,37562,37491,-0.2
"2423","Québec","Territoire équivalent","Quebec","24",4.2,"00000","Employment income","Females",229675,243070,149095,164000,27888,30810,10.5
"2425","Lévis","Territoire équivalent","Quebec","24",3.4,"00000","Total income","Both sexes",104190,115570,99885,113075,35214,40625,15.4
"2425","Lévis","Territoire équivalent","Quebec","24",3.4,"00000","Total income","Males",50595,56545,48955,55395,42352,46383,9.5
"2425","Lévis","Territoire équivalent","Quebec","24",3.4,"00000","Total income","Females",53595,59025,50930,57675,28527,35331,23.9
"2425","Lévis","Territoire équivalent","Quebec","24",3.4,"00000","After-tax income","Both sexes",104190,115570,99905,113095,31299,35055,12.0
"2425","Lévis","Territoire équivalent","Quebec","24",3.4,"00000","After-tax income","Males",50595,56545,48945,55395,36157,39174,8.3
"2425","Lévis","Territoire équivalent","Quebec","24",3.4,"00000","After-tax income","Females",53595,59025,50955,57705,26521,31028,17.0
"2425","Lévis","Territoire équivalent","Quebec","24",3.4,"00000","Employment income","Both sexes",104190,115570,78715,87550,35534,38070,7.1
"2425","Lévis","Territoire équivalent","Quebec","24",3.4,"00000","Employment income","Males",50595,56545,40355,44950,42617,43129,1.2
"2425","Lévis","Territoire équivalent","Quebec","24",3.4,"00000","Employment income","Females",53595,59025,38360,42600,29318,33529,14.4
"2426","La Nouvelle-Beauce","Municipalité régionale de comté","Quebec","24",3.1,"00000","Total income","Both sexes",25290,28705,24240,28210,29914,36409,21.7
"2426","La Nouvelle-Beauce","Municipalité régionale de comté","Quebec","24",3.1,"00000","Total income","Males",12965,14685,12575,14475,37523,41461,10.5
"2426","La Nouvelle-Beauce","Municipalité régionale de comté","Quebec","24",3.1,"00000","Total income","Females",12330,14025,11665,13730,23179,30718,32.5
"2426","La Nouvelle-Beauce","Municipalité régionale de comté","Quebec","24",3.1,"00000","After-tax income","Both sexes",25290,28705,24240,28210,27492,31984,16.3
"2426","La Nouvelle-Beauce","Municipalité régionale de comté","Quebec","24",3.1,"00000","After-tax income","Males",12965,14685,12570,14475,32304,35447,9.7
"2426","La Nouvelle-Beauce","Municipalité régionale de comté","Quebec","24",3.1,"00000","After-tax income","Females",12330,14025,11670,13735,22148,27717,25.1
"2426","La Nouvelle-Beauce","Municipalité régionale de comté","Quebec","24",3.1,"00000","Employment income","Both sexes",25290,28705,18910,22355,30320,33199,9.5
"2426","La Nouvelle-Beauce","Municipalité régionale de comté","Quebec","24",3.1,"00000","Employment income","Males",12965,14685,10370,12015,37439,38833,3.7
"2426","La Nouvelle-Beauce","Municipalité régionale de comté","Quebec","24",3.1,"00000","Employment income","Females",12330,14025,8545,10335,22407,26836,19.8
"2427","Robert-Cliche","Municipalité régionale de comté","Quebec","24",3.0,"00000","Total income","Both sexes",15160,15050,14505,14770,26612,31825,19.6
"2427","Robert-Cliche","Municipalité régionale de comté","Quebec","24",3.0,"00000","Total income","Males",7730,7750,7495,7640,33735,37491,11.1
"2427","Robert-Cliche","Municipalité régionale de comté","Quebec","24",3.0,"00000","Total income","Females",7430,7295,7015,7135,20870,25773,23.5
"2427","Robert-Cliche","Municipalité régionale de comté","Quebec","24",3.0,"00000","After-tax income","Both sexes",15160,15050,14505,14775,25107,28520,13.6
"2427","Robert-Cliche","Municipalité régionale de comté","Quebec","24",3.0,"00000","After-tax income","Males",7730,7750,7490,7640,29845,32699,9.6
"2427","Robert-Cliche","Municipalité régionale de comté","Quebec","24",3.0,"00000","After-tax income","Females",7430,7295,7010,7135,20192,24044,19.1
"2427","Robert-Cliche","Municipalité régionale de comté","Quebec","24",3.0,"00000","Employment income","Both sexes",15160,15050,10795,11060,26920,28667,6.5
"2427","Robert-Cliche","Municipalité régionale de comté","Quebec","24",3.0,"00000","Employment income","Males",7730,7750,6135,6145,32586,33693,3.4
"2427","Robert-Cliche","Municipalité régionale de comté","Quebec","24",3.0,"00000","Employment income","Females",7430,7295,4665,4915,20013,22715,13.5
"2428","Les Etchemins","Municipalité régionale de comté","Quebec","24",4.1,"00000","Total income","Both sexes",14330,13600,13645,13300,23727,28527,20.2
"2428","Les Etchemins","Municipalité régionale de comté","Quebec","24",4.1,"00000","Total income","Males",7315,7025,7045,6915,31854,35278,10.7
"2428","Les Etchemins","Municipalité régionale de comté","Quebec","24",4.1,"00000","Total income","Females",7020,6575,6595,6385,18652,22447,20.3
"2428","Les Etchemins","Municipalité régionale de comté","Quebec","24",4.1,"00000","After-tax income","Both sexes",14330,13600,13630,13300,22768,26515,16.5
"2428","Les Etchemins","Municipalité régionale de comté","Quebec","24",4.1,"00000","After-tax income","Males",7315,7025,7030,6910,28606,31582,10.4
"2428","Les Etchemins","Municipalité régionale de comté","Quebec","24",4.1,"00000","After-tax income","Females",7020,6575,6600,6385,18362,21504,17.1
"2428","Les Etchemins","Municipalité régionale de comté","Quebec","24",4.1,"00000","Employment income","Both sexes",14330,13600,9220,9060,25225,26681,5.8
"2428","Les Etchemins","Municipalité régionale de comté","Quebec","24",4.1,"00000","Employment income","Males",7315,7025,5235,5115,32937,34041,3.4
"2428","Les Etchemins","Municipalité régionale de comté","Quebec","24",4.1,"00000","Employment income","Females",7020,6575,3990,3945,17531,19590,11.7
"2429","Beauce-Sartigan","Municipalité régionale de comté","Quebec","24",4.1,"00000","Total income","Both sexes",39895,41840,38345,41055,27524,32111,16.7
"2429","Beauce-Sartigan","Municipalité régionale de comté","Quebec","24",4.1,"00000","Total income","Males",20060,21105,19575,20785,35167,38245,8.8
"2429","Beauce-Sartigan","Municipalité régionale de comté","Quebec","24",4.1,"00000","Total income","Females",19835,20735,18765,20265,20939,26370,25.9
"2429","Beauce-Sartigan","Municipalité régionale de comté","Quebec","24",4.1,"00000","After-tax income","Both sexes",39895,41840,38340,41060,25546,28867,13.0
"2429","Beauce-Sartigan","Municipalité régionale de comté","Quebec","24",4.1,"00000","After-tax income","Males",20060,21105,19570,20790,30464,33226,9.1
